date,breadth_count,breadth_percent
2023-02-08,179.0,35.586481113320076
2023-02-09,170.0,33.79721669980119
2023-02-10,168.0,33.39960238568588
2023-02-13,175.0,34.791252485089466
2023-02-14,171.0,33.99602385685885
2023-02-15,171.0,33.99602385685885
2023-02-16,161.0,32.007952286282304
2023-02-17,154.0,30.61630218687873
2023-02-21,144.0,28.628230616302186
2023-02-22,123.0,24.45328031809145
2023-02-23,110.0,21.868787276341948
2023-02-24,100.0,19.880715705765407
2023-02-27,92.0,18.290258449304176
2023-02-28,77.0,15.308151093439365
2023-03-01,69.0,13.717693836978132
2023-03-02,62.0,12.326043737574553
2023-03-03,62.0,12.326043737574553
2023-03-06,64.0,12.72365805168986
2023-03-07,66.0,13.12127236580517
2023-03-08,72.0,14.314115308151093
2023-03-09,71.0,14.115308151093439
2023-03-10,68.0,13.518886679920477
2023-03-13,63.0,12.524850894632205
2023-03-14,55.0,10.934393638170974
2023-03-15,51.0,10.139165009940358
2023-03-16,47.0,9.343936381709742
2023-03-17,43.0,8.548707753479125
2023-03-20,39.0,7.75347912524851
2023-03-21,46.0,9.145129224652088
2023-03-22,43.0,8.548707753479125
2023-03-23,46.0,9.145129224652088
2023-03-24,51.0,10.139165009940358
2023-03-27,53.0,10.536779324055665
2023-03-28,50.0,9.940357852882704
2023-03-29,59.0,11.72962226640159
2023-03-30,66.0,13.12127236580517
2023-03-31,75.0,14.910536779324055
2023-04-03,79.0,15.705765407554672
2023-04-04,83.0,16.50099403578529
2023-04-05,87.0,17.296222664015904
2023-04-06,88.0,17.495029821073558
2023-04-10,90.0,17.892644135188867
2023-04-11,90.0,17.892644135188867
2023-04-12,95.0,18.886679920477135
2023-04-13,95.0,18.886679920477135
2023-04-14,106.0,21.07355864811133
2023-04-17,110.0,21.868787276341948
2023-04-18,118.0,23.45924453280318
2023-04-19,124.0,24.652087475149106
2023-04-20,128.0,25.44731610337972
2023-04-21,141.0,28.031809145129227
2023-04-24,142.0,28.230616302186878
2023-04-25,142.0,28.230616302186878
2023-04-26,141.0,28.031809145129227
2023-04-27,130.0,25.844930417495032
